First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Norman,Freeman,Buy,70,UTEP Commencement 2,4,General Admission
Derek,Irwin,Buy,35,UTEP Basketball 22,6,Silver
Kimberly,Roberts,Buy,34,UTEP Basketball 21,3,Silver
Brandon,Miller,Buy,25,UTEP Basketball 12,2,General Admission
Luis,Johnson,Buy,54,UTEP Wind Symphony 10,3,VIP
Stitch,Disney,Buy,7,UTEP Football 7,3,Silver
Karl,Davis,Buy,23,UTEP Basketball 10,2,Bronze
Ryan,Bowman,Buy,27,UTEP Basketball 14,2,Silver
Christian,Odom,Buy,14,UTEP Basketball 1,5,Gold
Christopher,Wright,Buy,70,UTEP Commencement 2,3,Gold
Andrew,Hall,Buy,41,UTEP Basketball 28,6,Bronze
Marco,GarciaFernandez,Buy,40,UTEP Basketball 27,5,General Admission
Theresa,Hardy,Buy,28,UTEP Basketball 15,3,Silver
Erin,Barton,Buy,36,UTEP Basketball 23,3,VIP
Thomas,Clark,Buy,28,UTEP Basketball 15,3,General Admission
Katherine,Mcdonald,Buy,30,UTEP Basketball 17,3,VIP
Kathleen,Hines,Buy,53,UTEP Wind Symphony 9,4,VIP
Susan,Humphrey,Buy,57,Taylor Swift Live,5,Bronze
Michelle,Walsh,Buy,33,UTEP Basketball 20,3,Bronze
Michael,Williamson,Buy,5,UTEP Football 5,5,General Admission
Richard,Vargas,Buy,42,UTEP Basketball 29,5,VIP
Tanya,Turner,Buy,61,RBD Live,3,General Admission
Shannon,White,Buy,65,Coachella 1,5,VIP
Kaa,Disney,Buy,28,UTEP Basketball 15,5,VIP
Travis,Ruiz,Buy,38,UTEP Basketball 25,3,Bronze
Marissa,Henry,Buy,70,UTEP Commencement 2,4,Silver
Kim,Craig,Buy,49,UTEP Wind Symphony 5,2,Silver
Theresa,Hardy,Buy,45,UTEP Wind Symphony 1,5,Silver
Ruben,Edwards,Buy,53,UTEP Wind Symphony 9,2,Gold
Alexis,Ford,Buy,46,UTEP Wind Symphony 2,4,Gold
Sean,Klein,Buy,18,UTEP Basketball 5,5,Silver
Michael,Castillo,Buy,43,UTEP Basketball 30,2,Bronze
Miranda,Walker,Buy,32,UTEP Basketball 19,4,Silver
Elizabeth,Cruz,Buy,3,UTEP Football 3,5,Bronze
Keith,Ortiz,Buy,5,UTEP Football 5,5,Silver
Chris,Holden,Buy,24,UTEP Basketball 11,5,VIP
Debra,Raymond,Buy,7,UTEP Football 7,2,General Admission
Shawn,Santos,Buy,36,UTEP Basketball 23,4,VIP
Fernando,Sepulveda,Buy,26,UTEP Basketball 13,5,General Admission
Chase,Miller,Buy,31,UTEP Basketball 18,4,General Admission
Gabriela,Canizales,Buy,67,ACL,4,Gold
Richard,Edwards,Buy,53,UTEP Wind Symphony 9,3,Silver
Joel,Arellano,Buy,6,UTEP Football 6,3,Bronze
Cinderella,Disney,Buy,53,UTEP Wind Symphony 9,2,Bronze
Mary,Cruz,Buy,30,UTEP Basketball 17,4,Gold
Bradley,Rodriguez,Buy,36,UTEP Basketball 23,6,General Admission
Gerald,Beltran,Buy,68,Minerpalooza,3,General Admission
Kevin,Guerra,Buy,58,Drake Live,4,VIP
Christopher,Melendez,Buy,48,UTEP Wind Symphony 4,4,Gold
Timothy,Wagner,Buy,32,UTEP Basketball 19,3,Silver
Kaylee,Hale,Buy,45,UTEP Wind Symphony 1,3,VIP
Mark,Stewart,Buy,13,UTEP Football 13,2,Gold
Joshua,Hickman,Buy,62,Olivia Rodrigo Live,3,General Admission
Christopher,Sanford,Buy,55,UTEP Wind Symphony 11,4,VIP
Tanya,Johnson,Buy,1,UTEP Football 1,4,Gold
Douglas,Hernandez,Buy,32,UTEP Basketball 19,3,Bronze
Jorge,Garcia,Buy,47,UTEP Wind Symphony 3,6,Gold
Elizabeth,Cordova,Buy,61,RBD Live,5,Gold
Benjamin,Johnson,Buy,1,UTEP Football 1,3,Silver
Tiffany,Davis,Buy,66,Coachella 2,2,Bronze
John,Morris,Buy,9,UTEP Football 9,5,Gold
Raul,Pallares,Buy,38,UTEP Basketball 25,6,Bronze
Keith,Ellis,Buy,52,UTEP Wind Symphony 8,3,VIP
Michael,Johnson,Buy,4,UTEP Football 4,3,Gold
Nicole,Rowland,Buy,67,ACL,6,Bronze
Tyrone,Alvarado,Buy,38,UTEP Basketball 25,5,VIP
Anthony,Carson,Buy,5,UTEP Football 5,5,Gold
Christopher,Osborne,Buy,48,UTEP Wind Symphony 4,5,Silver
Cynthia,Ellis,Buy,3,UTEP Football 3,3,General Admission
Dylan,Lopez,Buy,2,UTEP Football 2,5,VIP
Elizabeth,Alvarez,Buy,68,Minerpalooza,5,Bronze
Jesse,Montgomery,Buy,1,UTEP Football 1,6,Gold
Rachel,Phillips,Buy,59,Bad Bunny Live,4,Silver
Jeffrey,Best,Buy,38,UTEP Basketball 25,6,Bronze
Bradley,Rodriguez,Buy,21,UTEP Basketball 8,4,Bronze
Megan,Noble,Buy,56,UTEP Wind Symphony 12,5,Bronze
Ernest,Bentley,Buy,58,Drake Live,4,Silver
Felicia,Carlson,Buy,23,UTEP Basketball 10,6,VIP
Eric,Gardea,Buy,29,UTEP Basketball 16,4,Gold
Jorge,Jaquez,Buy,22,UTEP Basketball 9,2,Silver
Sarah,Anderson,Buy,12,UTEP Football 12,4,Bronze
Craig,Oconnell,Buy,42,UTEP Basketball 29,6,Silver
Stephen,Villegas,Buy,3,UTEP Football 3,6,Silver
Christopher,Underwood,Buy,36,UTEP Basketball 23,2,VIP
Gary,Mckenzie,Buy,66,Coachella 2,6,General Admission
Shannon,White,Buy,26,UTEP Basketball 13,5,Silver
Brittney,Daniel,Buy,69,UTEP Commencement 1,4,Bronze
Lauren,Neal,Buy,33,UTEP Basketball 20,6,VIP
Crystal,Hayes,Buy,41,UTEP Basketball 28,2,General Admission
Anthony,Sims,Buy,68,Minerpalooza,3,Gold
Kaylee,Hale,Buy,70,UTEP Commencement 2,3,Gold
Craig,Brown,Buy,29,UTEP Basketball 16,4,Gold
Philip,Holt,Buy,69,UTEP Commencement 1,3,VIP
Marissa,Oconnell,Buy,7,UTEP Football 7,3,Gold
Jerry,Curtis,Buy,11,UTEP Football 11,3,Bronze
Cruella,DeVil,Buy,28,UTEP Basketball 15,5,Bronze
Kim,Contreras,Buy,3,UTEP Football 3,4,General Admission
Mary,Cruz,Buy,54,UTEP Wind Symphony 10,4,VIP
Sherry,Mora,Buy,43,UTEP Basketball 30,2,Silver
Heather,Cunningham,Buy,29,UTEP Basketball 16,2,Silver
Cody,Scott,Buy,70,UTEP Commencement 2,4,Gold
Sarah,Jones,Buy,57,Taylor Swift Live,4,General Admission
Jamie,Conner,Buy,70,UTEP Commencement 2,2,Bronze
Austin,Lewis,Buy,41,UTEP Basketball 28,4,VIP
Vanessa,Carson,Buy,49,UTEP Wind Symphony 5,4,Silver
Ryan,Wilkins,Buy,61,RBD Live,5,Silver
Kendra,Sawyer,Buy,48,UTEP Wind Symphony 4,6,General Admission
Brandon,Neal,Buy,35,UTEP Basketball 22,5,Gold
Michelle,Griffin,Buy,29,UTEP Basketball 16,3,VIP
Heather,Cunningham,Buy,5,UTEP Football 5,5,General Admission
Joel,Welch,Buy,31,UTEP Basketball 18,6,Silver
Goofy,Disney,Buy,11,UTEP Football 11,5,General Admission
Christina,Carter,Buy,33,UTEP Basketball 20,6,VIP
Crystal,Rice,Buy,19,UTEP Basketball 6,6,Bronze
Luis,Solomon,Buy,18,UTEP Basketball 5,3,Silver
Angela,Carney,Buy,66,Coachella 2,4,Gold
Mark,Stewart,Buy,19,UTEP Basketball 6,6,Gold
Dana,Williams,Buy,17,UTEP Basketball 4,4,Gold
Craig,Oconnell,Buy,36,UTEP Basketball 23,4,VIP
Linda,Rodriguez,Buy,39,UTEP Basketball 26,2,VIP
Robert,Kennedy,Buy,40,UTEP Basketball 27,3,General Admission
Marco,GarciaFernandez,Buy,4,UTEP Football 4,4,Silver
Kimberly,Johnson,Buy,15,UTEP Basketball 2,5,Bronze
Steven,Carrillo,Buy,38,UTEP Basketball 25,5,General Admission
Ashley,Frye,Buy,21,UTEP Basketball 8,2,Gold
Kimberly,Harris,Buy,2,UTEP Football 2,4,Bronze
Steven,Hartman,Buy,63,Shakira Live,5,General Admission
Holly,Davidson,Buy,31,UTEP Basketball 18,2,Gold
Mercedes,Nichols,Buy,54,UTEP Wind Symphony 10,3,Gold
Kayla,Mahoney,Buy,65,Coachella 1,6,Gold
Valerie,Moore,Buy,41,UTEP Basketball 28,4,Bronze
Vanessa,Watson,Buy,29,UTEP Basketball 16,2,Bronze
Renee,Bradley,Buy,38,UTEP Basketball 25,5,Bronze
Shannon,White,Buy,50,UTEP Wind Symphony 6,2,Silver
Gary,Smith,Buy,41,UTEP Basketball 28,2,VIP
James,Morgan,Buy,45,UTEP Wind Symphony 1,4,General Admission
Daniel,Smith,Buy,56,UTEP Wind Symphony 12,6,General Admission
Alison,Hicks,Buy,25,UTEP Basketball 12,5,General Admission
Raul,BaezRamirez,Buy,10,UTEP Football 10,2,Silver
Colleen,Torres,Buy,40,UTEP Basketball 27,5,Bronze
Kathleen,Small,Buy,45,UTEP Wind Symphony 1,4,Gold
Sean,Roberts,Buy,52,UTEP Wind Symphony 8,2,Gold
Danielle,Chavez,Buy,60,Karol G Live,4,Bronze
Matthew,Porter,Buy,31,UTEP Basketball 18,3,Gold
Anthony,Byrd,Buy,56,UTEP Wind Symphony 12,5,VIP
Andrew,Garcia,Buy,20,UTEP Basketball 7,6,Gold
Scott,Dunn,Buy,68,Minerpalooza,3,Bronze
Travis,Mcdonald,Buy,16,UTEP Basketball 3,6,VIP
Captaiin,Hook,Buy,25,UTEP Basketball 12,5,Bronze
Christopher,Underwood,Buy,47,UTEP Wind Symphony 3,3,Gold
Ashley,Walker,Buy,66,Coachella 2,2,Gold
Kimberly,Roberts,Buy,43,UTEP Basketball 30,3,Silver
Michael,Robinson,Buy,48,UTEP Wind Symphony 4,3,General Admission
Willie,Hobbs,Buy,64,Justin Timberlake Live,2,Bronze
Brittney,Daniel,Buy,16,UTEP Basketball 3,3,Gold
Christopher,Robinson,Buy,43,UTEP Basketball 30,6,VIP
Prince,Eric,Buy,46,UTEP Wind Symphony 2,3,Bronze
Brittany,Richard,Buy,27,UTEP Basketball 14,3,Silver
Lilo,Disney,Buy,50,UTEP Wind Symphony 6,6,General Admission
Chad,Clark,Buy,53,UTEP Wind Symphony 9,6,VIP
Michael,Morton,Buy,1,UTEP Football 1,2,Gold
Henry,Salazar,Buy,2,UTEP Football 2,6,Bronze
Goofy,Disney,Buy,66,Coachella 2,6,Silver
Jennifer,Huang,Buy,47,UTEP Wind Symphony 3,4,Silver
Rodney,Moss,Buy,1,UTEP Football 1,6,Gold
Kenneth,Boyd,Buy,35,UTEP Basketball 22,4,Bronze
Allison,Cross,Buy,14,UTEP Basketball 1,6,Bronze
Beth,Sharp,Buy,49,UTEP Wind Symphony 5,4,General Admission
Keith,Christensen,Buy,57,Taylor Swift Live,3,VIP
Stephanie,Kirby,Buy,5,UTEP Football 5,4,General Admission
Nicole,Rowland,Buy,45,UTEP Wind Symphony 1,6,General Admission
Timothy,Jones,Buy,8,UTEP Football 8,4,Bronze
Kelly,Jordan,Buy,56,UTEP Wind Symphony 12,2,Silver
Sean,Medina,Buy,62,Olivia Rodrigo Live,3,General Admission
Pamela,Carter,Buy,1,UTEP Football 1,4,Bronze
Janet,Hughes,Buy,29,UTEP Basketball 16,4,Gold
Brooke,Padilla,Buy,1,UTEP Football 1,4,VIP
Danielle,Dorsey,Buy,48,UTEP Wind Symphony 4,5,Silver
Richard,Paul,Buy,7,UTEP Football 7,6,VIP
Sean,Klein,Buy,49,UTEP Wind Symphony 5,4,Gold
Philip,Collins,Buy,2,UTEP Football 2,5,Silver
Gina,Swanson,Buy,35,UTEP Basketball 22,5,General Admission
Anita,Fletcher,Buy,21,UTEP Basketball 8,2,General Admission
Sandy,Blackwell,Buy,9,UTEP Football 9,2,Silver
Sherri,Velasquez,Buy,50,UTEP Wind Symphony 6,3,Gold
Carrie,Bennett,Buy,45,UTEP Wind Symphony 1,4,General Admission
Alexis,Black,Buy,17,UTEP Basketball 4,3,VIP
Kaylee,Patterson,Buy,52,UTEP Wind Symphony 8,6,Gold
Phillip,Brown,Buy,40,UTEP Basketball 27,2,VIP
Donald,Ramirez,Buy,22,UTEP Basketball 9,4,Bronze
Dustin,Oliver,Buy,56,UTEP Wind Symphony 12,2,Gold
Douglas,Hernandez,Buy,16,UTEP Basketball 3,4,Bronze
Michelle,Oliver,Buy,31,UTEP Basketball 18,2,General Admission
Jessica,Frye,Buy,5,UTEP Football 5,4,Bronze
Timothy,Jones,Buy,15,UTEP Basketball 2,5,Silver
Bryan,Fields,Buy,23,UTEP Basketball 10,5,VIP
Barbara,Robertson,Buy,69,UTEP Commencement 1,5,VIP
Christopher,Craig,Buy,9,UTEP Football 9,3,Bronze
Melissa,Mccormick,Buy,61,RBD Live,5,Bronze
Kelly,Bell,Buy,54,UTEP Wind Symphony 10,4,VIP
Samantha,Cooper,Buy,52,UTEP Wind Symphony 8,4,Silver
Rachel,Hart,Buy,34,UTEP Basketball 21,5,Gold
Travis,Burton,Buy,42,UTEP Basketball 29,4,Bronze
Pinocchio,Disney,Buy,6,UTEP Football 6,4,VIP
Erika,Lopez,Buy,5,UTEP Football 5,4,Gold
Edward,Johnson,Buy,27,UTEP Basketball 14,2,Gold
Michael,Ike,Buy,45,UTEP Wind Symphony 1,2,Silver
Jesse,Montgomery,Buy,47,UTEP Wind Symphony 3,2,Gold
Jennifer,Carr,Buy,13,UTEP Football 13,3,Bronze
Shane,Miller,Buy,19,UTEP Basketball 6,3,Silver
Scott,Rose,Buy,31,UTEP Basketball 18,4,Silver
Sean,Hull,Buy,15,UTEP Basketball 2,4,Bronze
Wendy,Phillips,Buy,31,UTEP Basketball 18,5,General Admission
Pamela,Carter,Buy,51,UTEP Wind Symphony 7,2,Silver
Raul,BaezRamirez,Buy,55,UTEP Wind Symphony 11,3,Silver
Simba,Disney,Buy,17,UTEP Basketball 4,6,Bronze
Christina,Walker,Buy,25,UTEP Basketball 12,5,Bronze
Sarah,Mosley,Buy,35,UTEP Basketball 22,5,General Admission
Mark,Butler,Buy,46,UTEP Wind Symphony 2,5,General Admission
James,Brennan,Buy,69,UTEP Commencement 1,3,VIP
Stephanie,Kirby,Buy,46,UTEP Wind Symphony 2,4,General Admission
Alexis,Shea,Buy,46,UTEP Wind Symphony 2,4,Gold
Cinderella,Disney,Buy,70,UTEP Commencement 2,5,Gold
Brittany,Andrews,Buy,59,Bad Bunny Live,2,Silver
Alexis,Ford,Buy,30,UTEP Basketball 17,2,Gold
Ashley,Morales,Buy,33,UTEP Basketball 20,4,Silver
Melissa,Mccormick,Buy,13,UTEP Football 13,3,Silver
Michelle,Wood,Buy,52,UTEP Wind Symphony 8,4,VIP
Mindy,Ross,Buy,1,UTEP Football 1,2,Gold
Jacob,Norton,Buy,40,UTEP Basketball 27,2,Gold
Devin,Lara,Buy,68,Minerpalooza,5,General Admission
Emily,Chang,Buy,35,UTEP Basketball 22,3,Silver
Kevin,Boone,Buy,12,UTEP Football 12,5,Silver
Brittany,Nielsen,Buy,16,UTEP Basketball 3,2,Silver
Holly,Davidson,Buy,35,UTEP Basketball 22,4,General Admission
Amber,Long,Buy,63,Shakira Live,6,Gold
Robert,Kennedy,Buy,16,UTEP Basketball 3,4,Gold
Wendy,Phillips,Buy,49,UTEP Wind Symphony 5,5,Gold
Christina,Jones,Buy,68,Minerpalooza,4,Gold
John,Davis,Buy,23,UTEP Basketball 10,6,General Admission
David,Hayes,Buy,59,Bad Bunny Live,4,Bronze
Olivia,Richardson,Buy,68,Minerpalooza,2,Silver
Doris,Moore,Buy,67,ACL,6,General Admission
Amber,Long,Buy,57,Taylor Swift Live,4,VIP
Jeremiah,Williamson,Buy,56,UTEP Wind Symphony 12,2,Bronze
Ray,Huynh,Buy,12,UTEP Football 12,4,General Admission
Michael,King,Buy,8,UTEP Football 8,2,Bronze
Francisco,Moore,Buy,65,Coachella 1,4,Bronze
Michael,Sanchez,Buy,46,UTEP Wind Symphony 2,6,Gold
Alejandra,Morris,Buy,33,UTEP Basketball 20,3,General Admission
Emily,Estes,Buy,43,UTEP Basketball 30,5,Bronze
Angel,Aguayo,Buy,54,UTEP Wind Symphony 10,6,VIP
Keith,Ellis,Buy,32,UTEP Basketball 19,2,General Admission
John,Hansen,Buy,41,UTEP Basketball 28,6,Silver
Sarah,Anderson,Buy,9,UTEP Football 9,4,Bronze
Alan,Holguin,Buy,53,UTEP Wind Symphony 9,4,General Admission
Brian,Andrews,Buy,12,UTEP Football 12,4,VIP
Erin,Mejia,Buy,18,UTEP Basketball 5,6,VIP
Matthew,Mason,Buy,55,UTEP Wind Symphony 11,4,VIP
David,Clark,Buy,40,UTEP Basketball 27,3,Silver
William,Adkins,Buy,64,Justin Timberlake Live,5,Bronze
Victoria,White,Buy,16,UTEP Basketball 3,2,VIP
Mary,Gonzalez,Buy,68,Minerpalooza,6,Bronze
Ryan,Peterson,Buy,4,UTEP Football 4,2,Gold
Kenneth,Davis,Buy,27,UTEP Basketball 14,4,Gold
Colleen,Sanchez,Buy,32,UTEP Basketball 19,2,Bronze
Mary,Chapman,Buy,54,UTEP Wind Symphony 10,2,Gold
Barbara,Jones,Buy,7,UTEP Football 7,5,Gold
Cynthia,Giles,Buy,12,UTEP Football 12,2,Gold
Shannon,Avery,Buy,67,ACL,5,VIP
Timothy,Romero,Buy,46,UTEP Wind Symphony 2,3,General Admission
Stephen,Villegas,Buy,35,UTEP Basketball 22,4,Bronze
Lori,Livingston,Buy,6,UTEP Football 6,6,VIP
Christopher,Wright,Buy,54,UTEP Wind Symphony 10,5,Bronze
Kenneth,House,Buy,32,UTEP Basketball 19,6,Bronze
Christopher,Berry,Buy,37,UTEP Basketball 24,6,General Admission
Thomas,Elliott,Buy,31,UTEP Basketball 18,2,General Admission
Christina,Wheeler,Buy,68,Minerpalooza,4,Silver
Edgar,Ruiz,Buy,67,ACL,3,Bronze
David,Costa,Buy,25,UTEP Basketball 12,3,Bronze
Anthony,Sanchez,Buy,12,UTEP Football 12,2,Bronze
Luis,Quinones,Buy,44,UTEP Basketball 31,2,Bronze
Matthew,Campbell,Buy,37,UTEP Basketball 24,4,Bronze
Walter,Wawra,Buy,24,UTEP Basketball 11,2,VIP
Charles,Chambers,Buy,31,UTEP Basketball 18,2,VIP
James,Brennan,Buy,24,UTEP Basketball 11,5,VIP
Kimberly,Johnson,Buy,1,UTEP Football 1,3,General Admission
Wendy,Phillips,Buy,46,UTEP Wind Symphony 2,4,VIP
Jessica,Martin,Buy,41,UTEP Basketball 28,4,Gold
Brendan,Phillips,Buy,25,UTEP Basketball 12,6,Gold
Carrie,Bennett,Buy,33,UTEP Basketball 20,6,Bronze
Julie,Alexander,Buy,69,UTEP Commencement 1,6,VIP
Kimberly,Kocian,Buy,13,UTEP Football 13,2,VIP
Travis,Ruiz,Buy,42,UTEP Basketball 29,5,Gold
Gary,Miller,Buy,19,UTEP Basketball 6,6,General Admission
Luis,Quinones,Buy,11,UTEP Football 11,5,VIP
Maria,Kelly,Buy,33,UTEP Basketball 20,5,Silver
Michelle,Ortiz,Buy,48,UTEP Wind Symphony 4,5,General Admission
Gerald,Baker,Buy,60,Karol G Live,5,General Admission
Ashley,Walker,Buy,2,UTEP Football 2,4,Silver
Daniel,Hampton,Buy,47,UTEP Wind Symphony 3,3,VIP
Marko,Padilla,Buy,45,UTEP Wind Symphony 1,2,Bronze
Alyssa,Reese,Buy,5,UTEP Football 5,4,Gold
William,Staker,Buy,67,ACL,4,Gold
Susan,Davis,Buy,15,UTEP Basketball 2,2,Silver
Angela,Mcintyre,Buy,27,UTEP Basketball 14,6,Bronze
Amanda,Shepherd,Buy,8,UTEP Football 8,3,Gold
Jennifer,Schultz,Buy,9,UTEP Football 9,5,VIP
Donald,Duck,Buy,4,UTEP Football 4,6,Gold
Martha,Perry,Buy,61,RBD Live,4,Silver
Christopher,Johnson,Buy,23,UTEP Basketball 10,4,Gold
Heather,Little,Buy,3,UTEP Football 3,5,Gold
Aladdin,Disney,Buy,12,UTEP Football 12,4,Gold
Cody,Scott,Buy,67,ACL,4,Gold
Mark,Ramos,Buy,64,Justin Timberlake Live,4,VIP
Megan,Noble,Buy,3,UTEP Football 3,2,Bronze
Barbara,Robertson,Buy,17,UTEP Basketball 4,2,Bronze
Thomas,Elliott,Buy,19,UTEP Basketball 6,4,Silver
Andrew,Marshall,Buy,27,UTEP Basketball 14,3,Bronze
Catherine,Mann,Buy,41,UTEP Basketball 28,2,VIP
Mary,Gonzalez,Buy,5,UTEP Football 5,2,VIP
Lauren,Neal,Buy,42,UTEP Basketball 29,6,VIP
Mary,Lee,Buy,13,UTEP Football 13,4,VIP
Kelly,Jordan,Buy,35,UTEP Basketball 22,6,VIP
Ashley,Romero,Buy,27,UTEP Basketball 14,4,Silver
Brandon,Miller,Buy,57,Taylor Swift Live,5,Bronze
Alyssa,Smith,Buy,26,UTEP Basketball 13,5,General Admission
Monica,Craig,Buy,47,UTEP Wind Symphony 3,6,Bronze
Adam,Maldonado,Buy,28,UTEP Basketball 15,2,Gold
Robert,Park,Buy,51,UTEP Wind Symphony 7,5,Gold
Nancy,Robles,Buy,20,UTEP Basketball 7,6,Gold
Colleen,Hall,Buy,41,UTEP Basketball 28,5,General Admission
Jenny,Henry,Buy,31,UTEP Basketball 18,2,Gold
Philip,Holt,Buy,10,UTEP Football 10,2,General Admission
Amanda,Baker,Buy,43,UTEP Basketball 30,4,VIP
Beverly,Johnson,Buy,38,UTEP Basketball 25,4,Gold
Thomas,Bonilla,Buy,41,UTEP Basketball 28,3,Silver
Jose,Evans,Buy,59,Bad Bunny Live,4,Silver
James,Nolan,Buy,7,UTEP Football 7,6,General Admission
Wesley,Williamson,Buy,41,UTEP Basketball 28,5,VIP
Michelle,Griffin,Buy,21,UTEP Basketball 8,6,Silver
Kirsten,Robinson,Buy,1,UTEP Football 1,5,Bronze
Jessica,Anderson,Buy,19,UTEP Basketball 6,5,Silver
Courtney,Olsen,Buy,20,UTEP Basketball 7,4,Gold
Jose,Farley,Buy,30,UTEP Basketball 17,6,General Admission
Thomas,Sanders,Buy,33,UTEP Basketball 20,3,VIP
Barbara,Jones,Buy,54,UTEP Wind Symphony 10,6,VIP
Stephanie,Harris,Buy,10,UTEP Football 10,2,Gold
Sandra,Sutton,Buy,7,UTEP Football 7,2,General Admission
Brandon,Miller,Buy,60,Karol G Live,4,Gold
Robert,Lyons,Buy,2,UTEP Football 2,4,Silver
Dylan,Lopez,Buy,60,Karol G Live,5,Silver
Angela,Lang,Buy,32,UTEP Basketball 19,2,Bronze
Melissa,Mccormick,Buy,57,Taylor Swift Live,5,Silver
Chelsea,Gallagher,Buy,14,UTEP Basketball 1,6,Bronze
Brian,Hayes,Buy,5,UTEP Football 5,3,Gold
Michelle,Holland,Buy,30,UTEP Basketball 17,6,VIP
Barbara,Jones,Buy,19,UTEP Basketball 6,3,General Admission
Gregory,Maxwell,Buy,69,UTEP Commencement 1,3,Silver
Victor,Anderson,Buy,38,UTEP Basketball 25,4,Gold
Craig,Oconnell,Buy,52,UTEP Wind Symphony 8,3,Bronze
Austin,Griffin,Buy,2,UTEP Football 2,5,Bronze
Ariana,Lara,Buy,66,Coachella 2,6,Gold
Ethan,Holmes,Buy,39,UTEP Basketball 26,5,Silver
James,Mitchell,Buy,52,UTEP Wind Symphony 8,3,VIP
Alexandra,Cook,Buy,14,UTEP Basketball 1,6,Bronze
Robert,Kennedy,Buy,29,UTEP Basketball 16,3,Bronze
Maria,Mitchell,Buy,31,UTEP Basketball 18,2,Bronze
Anthony,Dalton,Buy,3,UTEP Football 3,2,Bronze
Jared,Perry,Buy,9,UTEP Football 9,6,Bronze
Christina,Walker,Buy,16,UTEP Basketball 3,2,Silver
Sean,Klein,Buy,49,UTEP Wind Symphony 5,2,VIP
Hayden,Mcdaniel,Buy,35,UTEP Basketball 22,2,Bronze
Karl,Davis,Buy,30,UTEP Basketball 17,6,General Admission
Marco,GarciaFernandez,Buy,33,UTEP Basketball 20,4,Silver
Wendy,Campos,Buy,56,UTEP Wind Symphony 12,5,Gold
Becky,Gray,Buy,38,UTEP Basketball 25,4,Silver
Joseph,Fritz,Buy,70,UTEP Commencement 2,6,General Admission
Brandy,Valenzuela,Buy,48,UTEP Wind Symphony 4,5,VIP
Brandy,Valenzuela,Buy,17,UTEP Basketball 4,6,Silver
Joseph,Lewis,Buy,43,UTEP Basketball 30,2,Bronze
Timothy,Jones,Buy,55,UTEP Wind Symphony 11,3,Gold
Robert,Kennedy,Buy,29,UTEP Basketball 16,4,General Admission
Cesar,DiazCaraveo,Buy,39,UTEP Basketball 26,3,Gold
Danielle,Gardner,Buy,44,UTEP Basketball 31,5,Gold
Angel,UrbinaAraiza,Buy,9,UTEP Football 9,3,VIP
Sarah,Taylor,Buy,30,UTEP Basketball 17,6,Silver
Donald,Villanueva,Buy,8,UTEP Football 8,4,Bronze
Sarah,Stanton,Buy,46,UTEP Wind Symphony 2,6,VIP
Carlos,Irwin,Buy,60,Karol G Live,4,Gold
Gabriela,Canizales,Buy,5,UTEP Football 5,4,Bronze
Kimberly,Miller,Buy,57,Taylor Swift Live,4,VIP
Mark,Thompson,Buy,20,UTEP Basketball 7,6,Silver
Andrew,Norris,Buy,27,UTEP Basketball 14,3,Bronze
Michelle,Maldonado,Buy,7,UTEP Football 7,3,Gold
Beth,Moss,Buy,30,UTEP Basketball 17,2,Bronze
Robert,Park,Buy,46,UTEP Wind Symphony 2,3,VIP
Jacob,Norton,Buy,20,UTEP Basketball 7,6,Silver
Christopher,Davis,Buy,55,UTEP Wind Symphony 11,5,Gold
Tammy,Thomas,Buy,35,UTEP Basketball 22,6,Gold
David,Cox,Buy,64,Justin Timberlake Live,2,Bronze
Brett,Higgins,Buy,5,UTEP Football 5,4,Bronze
David,Hayes,Buy,66,Coachella 2,6,Gold
Joseph,Hanna,Buy,48,UTEP Wind Symphony 4,4,General Admission
Deborah,Scott,Buy,6,UTEP Football 6,4,Bronze
Andrew,Hall,Buy,63,Shakira Live,5,General Admission
Erin,Mejia,Buy,26,UTEP Basketball 13,4,Silver
Kenneth,Smith,Buy,27,UTEP Basketball 14,4,General Admission
Timothy,Wagner,Buy,62,Olivia Rodrigo Live,6,VIP
Diana,Rivera,Buy,68,Minerpalooza,3,VIP
Todd,Brooks,Buy,65,Coachella 1,5,Bronze
Shane,Arnold,Buy,24,UTEP Basketball 11,6,Bronze
Philip,Collins,Buy,63,Shakira Live,6,VIP
Lisa,Miller,Buy,10,UTEP Football 10,3,Silver
David,Costa,Buy,42,UTEP Basketball 29,6,Silver
Darin,Porter,Buy,53,UTEP Wind Symphony 9,5,Silver
Matthew,Erickson,Buy,23,UTEP Basketball 10,5,Gold
Matthew,Erickson,Buy,22,UTEP Basketball 9,5,Gold
Mindy,Ross,Buy,63,Shakira Live,2,VIP
Rick,Parrish,Buy,26,UTEP Basketball 13,6,Gold
Sharon,Gillespie,Buy,32,UTEP Basketball 19,3,Bronze
Kevin,Larson,Buy,70,UTEP Commencement 2,3,Bronze
Louis,Boone,Buy,44,UTEP Basketball 31,4,VIP
Robin,Wilson,Buy,53,UTEP Wind Symphony 9,5,VIP
Steven,Cabrera,Buy,61,RBD Live,3,Gold
Paul,Salas,Buy,10,UTEP Football 10,5,General Admission
Rachel,Hart,Buy,32,UTEP Basketball 19,5,General Admission
Misty,Jimenez,Buy,45,UTEP Wind Symphony 1,2,General Admission
Thomas,Bonilla,Buy,51,UTEP Wind Symphony 7,5,VIP
